WQX,MassWateR,RI_DEM,RI_WW,ME_DEP,ME_FOCB,Flag,Description
GT,AQL,,,G,G,Over-Detect,The listed result is greater than the upper quantitation limit for either the analytical method or the meter used for the measurement. Equivalent to the Legacy STORET Remark Code of L: Actual Value is known to be greater than the value given.
DL,BDL,U,U,UJH,,Non-Detect,Not Detected: The analyte was not detected at a level >= to the Method Detection Limit for the analysis.
Q,Q,,,R,,Suspect,The result did not pass the lab quality checks and there was an insufficient amount of the sample for re-analysis.
J-R,,I,,,,Suspect,Approximate value result is below the reporting level but greater than the method detection limit
NRR,,N,N,,,Suspect,"No Result Reported, other"
B,,V,,B|JB,,Suspect,"Detection in blank, Analyte found in sample and associated blank"
,,,Z,,,,
AR,,,,*|B*|J*,,Suspect,counts outside acceptable range
DI,,,,D,,Pass,Dilution required
J,,,,J,J,Pass,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.
BQL,,,,U|UJ,,Non-Detect,Below Quantitation Limit
$,,,,,,Suspect,Incorrect sample container
&,,,,,,Pass,biological organism established as dominant
(,,,,,,Suspect,blank greater than the sample-specific Critical Level
),,,,,,Suspect,sample specific MDC (Minimum Detectable Change) above contractual MDC
*,,,,,,Suspect,Sample was warm when received
^,,,,,,Suspect,Yield outside of contractual acceptable range (USGS)
+,,,,,,Suspect,Recovery is outside acceptance limits and/or RPD exceeds control limits
<2B,,,,,,Non-Detect,Result was <2 times the blank concentration - set to Not Detected
=,,,,,,Pass,Equal To
2-5B,,,,,,Non-Detect,Result was between 2-5 times the blank concentration - set to Detected Not Quantified
A,,,,,,Suspect,Compound not analyzed
AC,,,,,,Pass,sample variability described see activity comment for more details
AL,,,,,,Pass,Aldol condensation present. Analyte may not be present.
ALK,,,,,,Pass,"Estimate, Alkylated PAH Sum"
ALT,,,,,,Pass,Alternate Method
AP,,,,,,Pass,The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample. And serial dilution acceptance criteria not met
B3,,,,,,Not Reviewed,Target analyte detected in calibration blank at or above the method reporting limit
BAC,,,,,,Pass,"Correction Factor, background"
BRL,,,,,,Non-Detect,Below Reporting Limit
BS,,,,,,Suspect,Compound was found in the blank and sample
BSR,,,,,,Suspect,Lab spiked blank acceptance criteria not met
BT,,,,,,Suspect,Detection in Trip Blank
BVER,,,,,,Suspect,Continuing calibration blank criteria was not met
C,,,,,,Suspect,Presence of compound may be due to contamination of sample during laboratory processing
C25,,,,,,Suspect,Dual Column result difference >25%
C40,,,,,,Not Reviewed,Dual Column result difference >40%
CAJ,,,,,,Pass,"Correction Factor, lab"
CAN,,,,,,Suspect,"No Result Reported, analysis canceled"
CBC,,,,,,Suspect,"No Result Reported, cannot be calculated"
CBG,,,,,,Suspect,"CC B G; Co-eluting congener, analyte found in sample and associated blank, and lock mass interference present"
CBL,,,,,,Pass,"Correction Factor, blank"
CC,,,,,,Pass,co-eluting congener
CDI,,,,,,Pass,"Correction Factor, dilution"
CG,,,,,,Pass,CC G; Co-eluting congener and lock mass interference present
CKB,,,,,,Pass,"CC PK B; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and analyte found in sample and associated blank"
CKBJ,,,,,,Pass,"CC PK B J;Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration), analyte found in sample and associated blank, and the reported result is an estimate (the value is less than the minimum calibration level"
CKG,,,,,,Pass,"CC PK G; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and lock mass interference present"
CKJ,,,,,,Pass,"CC PK J; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and the reported result is an estimate (the value is less than the minimum calibration level but greater than the estimated detection limit)"
CLC,,,,,,Pass,"Correction Factor, other"
CNT,,,,,,Suspect,Non-acceptable colony counts.
CON,,,,,,Pass,Value Confirmed
CSR,,,,,,Suspect,Calibration standard acceptance criteria not met
CUG,,,,,,Pass,"CC U G; Co-eluting congener, the analyte was not detected in the sample at the estimated detection limit and lock mass interference present"
D,,,,,,Suspect,"Contract Required Quantitation Limit (CRQL) not met due to sample matrix interference, dilution required.  "
D>T,,,,,,Non-Detect,Result dissolved concentration was greater than its total and the absolute difference was greater than or equal to the total MDL - set to Detected Not Quantified
DE,,,,,,Suspect,Serial dilution acceptance criteria not met.
DEC,,,,,,Pass,Value Decensored -  reconstruct or remove the objectionable values of a measurement set
DOM,,,,,,Pass,count >= 15 percent (dominant)
DT,,,,,,Suspect,Date value on logger was incorrect; Changed to date of sampling event; Date and Time considered suspect.
E,,,,,,Over-Detect,Concentration of analyte being analyzed exceeded calibration range of instrument.
ECI,,,,,,Pass,"Estimated Value, Coelution"
EE,,,,,,Over-Detect,Identifies compounds whose concentration exceed the calibration range addition of the instrument for that specific analysis.
EER,,,,,,Suspect,"No Result Reported, entry error; Original value is known to be incorrect due to a data entry error.  The correct value could not be determined. No result value was reported"
EFAI,,,,,,Suspect,Equipment failure
EMCL,,,,,,Not Reviewed,Value Exceeds Maximum Contaminant Level
EMPC,,,,,,Suspect,Estimated Maximum Possible Concentration
ESD,,,,,,Suspect,"Estimated Value, serial dilution difference"
EST,,,,,,Suspect,"Estimated Value, outside limit of precision"
EVA,,,,,,Suspect,"Estimated Value, multiple Aroclors"
EVAD,,,,,,Suspect,"Estimated Value, degradation"
EVID,,,,,,Suspect,"Estimated Value, tentatively identified compound"
F,,,,,,Suspect,Estimated value: compound failed initial calibration check (CCC) or QC criteria
FDB,,,,,,Suspect,"Dry Blank, failed"
FDC,,,,,,Suspect,"Drift Check, failed"
FDL,,,,,,Suspect,"Lab Duplicate, failed"
FEQ,,,,,,Suspect,Field Equipment Questionable
FFB,,,,,,Suspect,Failed. Field blank not acceptable.
FFD,,,,,,Suspect,"Field Duplicate, failed"
FFS,,,,,,Suspect,Failed. Field spike not acceptable.
FFT,,,,,,Suspect,Failed. Trip blank not acceptable.
FH,,,,,,Suspect,"Failed high at audit check during deployment. Could include pre, mid or post deployment check."
FIS,,,,,,Suspect,"Internal Standard, failed"
FL,,,,,,Suspect,"Failed low at audit check during deployment. Could include pre, mid or post deployment check."
FLA,,,,,,Suspect,Field Lab Anomaly
FLC,,,,,,Suspect,"Linearity Check, failed"
FLD,,,,,,Suspect,Failed. Lab duplicate not acceptable.
FLS,,,,,,Suspect,Failed. Lab spike recovery not acceptable.
FMD,,,,,,Suspect,Failed. Matrix Spike Duplicate not acceptable.
FMS,,,,,,Suspect,Failed. Matrix spike recovery not acceptable.
FPC,,,,,,Suspect,"Performance Check, failed"
FPP,,,,,,Suspect,sample field preparation problem
FPR,,,,,,Suspect,"Ongoing Precision and Recovery, failed"
FQC,,,,,,Suspect,"Quality Control, failed"
FRS,,,,,,Suspect,"Lab Reference, failed"
FSD,,,,,,Suspect,"Lab Spike Duplicate, failed"
FSL,,,,,,Suspect,Failed. Spiked lab blank recovery not acceptable.
FSP,,,,,,Suspect,Failed. Surrogate spike recovery not acceptable.
FUB,,,,,,Suspect,"Field Tubing Blank, failed"
G,,,,,,Suspect,lock mass interference present
GR4,,,,,,Suspect,"The analyte present in the original sample is greater than 4 times the matrix spike concentration; therefore, control limits are not applicable"
GXB,,,,,,Suspect,"Estimated Value, greater than 10x blank"
H,,,,,,Suspect,Holding time exceeded: 
H2,,,,,,Suspect,Extraction or preparation was conducted outside of the recognized method holding time.
H3,,,,,,Suspect,Sample was received or analysis requested beyond the recognized method holding time.
H4,,,,,,Not Reviewed,"Sample was extracted past required extraction holding time, but analyzed within analysis holding time"
H5,,,,,,Not Reviewed,Test specified to be performed in the field within 15 minutes of sampling; sample was received and analyzed past the regulatory holding time
HE,,,,,,Suspect,value extrapolated at high end
HF,,,,,,Not Reviewed,Field parameter with a holding time of 15 minutes; test performed by laboratory at client's request
HH,,,,,,Suspect,Out High
HIB,,,,,,Suspect,Likely Biased High
HICC,,,,,,Suspect,Initial calibration criteria not met â€“ high
HIM,,,,,,Suspect,High Moisture 
HLBL,,,,,,Pass,high labeled compound recovery in sample
HMSD,,,,,,Suspect,Matrix spike duplicate acceptance criteria not met â€“ high
HMSR,,,,,,Pass,"high matrix spike recovery, potential high bias"
HNRO,,,,,,Pass,"high native analyte recovery in OPR (or LCS), potential high bias"
HQ,,,,,,Pass,High Quality control measures
HTH,,,,,,Pass,Hard to Homogenize
HTI,,,,,,Not Reviewed,"Holding time for test is immediate; the laboratory measurement, therefore, cannot be used for compliance purposes"
HVER,,,,,,Pass,"high calibration verification standard recovery, estimated value"
I,,,,,,Suspect,Estimated value; compound failed initial calibration value
ICA,,,,,,Suspect,Incorrect Initial Calibration Associated with Sample
IDL,,,,,,Non-Detect,"Instrument Detection Limit, less than"
INT,,,,,,Suspect,Interference suspected. Analyte may not be present.
IQCOL,,,,,,Suspect,"ICV,CCV,ICB,CCB, ISA, ISB, CRI, CRA, DLCK or MRL standard: Instrument related QC is outside acceptance limits"
IS,,,,,,Suspect,instrument sensitivity problem
ISAC,,,,,,Suspect,Internal standard acceptance criteria not met
ISP,,,,,,Suspect,Improper Sample Preservation
ITNA,,,,,,Suspect,Incubation time not attained
ITNM,,,,,,Suspect,Incubation temperature not maintained
J-,,,,,,Pass,"The analyte was positively identified; the associated numerical value is the approximate concentration of the analyte in the sample, and may have a potential negative bias."
J+,,,,,,Pass,Estimated: The analyte was positively identified and the associated numerical value... +++.
J-1,,,,,,Pass,Estimated value. A full explanation is presented in the narrative.
JCN,,,,,,Suspect,"Sample Container Damaged, no sample lost"
JCW,,,,,,Suspect,"Sample Container Damaged, sample lost"
K,,,,,,Non-Detect,Value below the detection Limit.  For BOD: depletion is less than 1.0
K5,,,,,,Not Reviewed,The dilution water D.O. depletion was > 0.2 mg/L
K6,,,,,,Not Reviewed,Glucose/glutamic acid BOD was below method acceptance criteria
KCF,,,,,,Suspect,"Known Contamination, field"
KCX,,,,,,Suspect,"Known Contamination, unknown"
KK,,,,,,Suspect,True bacterial concentration is assumed to be less than the reported value. 
L,,,,,,Pass,Lowest available reporting limit for the analytical method used.
LAC,,,,,,Suspect,"No Result Reported, lab accident"
LBF,,,,,,Suspect,"Lab Failed, sample not analyzed"
LCS,,,,,,Pass,LCS or LCSD
LF,,,,,,Pass,count < 0.5 percent
LICC,,,,,,Pass,Initial calibration criteria not met â€“ low
LIS,,,,,,Pass,Lab internal standard(s) added to sample.
LL,,,,,,Pass,True bacterial concentration is assumed to be greater than the reported value. 
LLBL,,,,,,Pass,low labeled compound recovery in sample
LLS,,,,,,Suspect,Value less than lower quality control standard.
LMSD,,,,,,Pass,Matrix spike duplicate acceptance criteria not met â€“ low
LMSR,,,,,,Pass,"low matrix spike recovery, potential low bias"
LNRO,,,,,,Pass,"low native analyte recovery in OPR (or LCS), potential low bias"
LO,,,,,,Suspect,laboratory Control Sample (LCS) recovery outside of accept range
LOB,,,,,,Pass,Likely Biased Low
LOPR,,,,,,Pass,"low OPR (or LCS) recovery, potential low bias"
LQ,,,,,,Pass,Low Quality control measures
LR,,,,,,Pass,Operating Range
LSSR,,,,,,Pass,Surrogate standard acceptance criteria not met â€“ low
LT,,,,,,Pass,Less Than
LTGTE,,,,,,Non-Detect,Result is less than the MQL but greater than or equal to the MDL
LVER,,,,,,Pass,"low calibration verification standard recovery, potential low bias"
M3,,,,,,Not Reviewed,Spike recovery value unusable since the analyte concentration in the sample is disproportionate to the spike level
M4,,,,,,Not Reviewed,The analysis of the spiked sample required a dilution such that the spike recovery calculation does not provide useful information
M6F,,,,,,Pass,More Than 6 Flags Applied
MDL,,,,,,Suspect,Method Detection Level
MHA,,,,,,Not Reviewed,"Due to high levels of analyte in the sample, the MS/MSD calculation does not provide useful spike recovery information"
MI,,,,,,Suspect,Matrix Interference
MSD,,,,,,Suspect,MS and/or MSD
MSI,,,,,,Not Reviewed,Sample matrix interference caused MS and/or MSD to be above acceptance limits
MSR,,,,,,Suspect,Matrix spike acceptance criteria not met
N,,,,,,Pass,Presumptive evidence of a nontarget compound
NA,,,,,,Pass,Not Applicable
NAI,,,,,,Suspect,"No Result Reported, interference"
NFNS,,,,,,Pass,Comparison of nutrient fractions (e.g. filtered > unfiltered) or nutrient species (e.g. PO4 > TP) are not consistent
NHS,,,,,,Suspect,Non-homogenous sample
NLBL,,,,,,Suspect,"no labeled compound recovery in sample, rejected"
NLRO,,,,,,Suspect,"no labeled compound recovery in OPR (or LCS), rejected"
NN,,,,,,Suspect,authentic recovery is not within method/contract control limits
NPNF,,,,,,Suspect,Normal protocol not followed
NRB,,,,,,Pass,negative result may indicate potential negative bias
NRO,,,,,,Suspect,Control sample acceptance criteria not met
NRP,,,,,,Suspect,No Result Possible
NRS,,,,,,Pass,Non Representative Sample; Sample does not represent the environmental conditions.
NSQ,,,,,,Suspect,"No Result Reported, insufficient quantity of sample"
NW,,,,,,Suspect,Not Within
O,,,,,,Pass,result determined by alternate method
OA3,,,,,,Suspect,"Outlier, across stations"
OS3,,,,,,Suspect,"Outlier, single station"
OTHER,,,,,,Suspect,Other
OUT,,,,,,Suspect,Result value is defined as an outlier by data owner
P,,,,,,Pass,PCDE interference
PB,,,,,,Suspect,Continuous probe biased
PK,,,,,,Suspect,Peak deteced but did not meet quantification criteria (result reported represents the estimated maximum possible concentration)
PNQ,,,,,,Suspect,No Quantifiable Result Reported
PP,,,,,,Suspect,sample preparation problem
PPD,,,,,,Suspect,"Spiked Blank Duplicate, failed"
PQL,,,,,,Pass,PQL or LQL
PRE,,,,,,Suspect,Presumptive evidence that analyte is present.
QC,,,,,,Suspect,Quality Control problems
QCI,,,,,,Suspect,Quality Control incomplete
R,,,,,,Suspect,Rejected: The sample results are unusable due to the quality of the data generated because certain criteria were not met. The analyte may or may not be present in the sample. 
RA,,,,,,Suspect,Results fall outside the normal limits of variability and do not meet Data Quality Objectives. Reanalyses were performed with consistent results. All QA 
RC,,,,,,Pass,See result comment
REX,,,,,,Pass,Re-Prepared
RIN,,,,,,Pass,Re-Analyzed
RLRS,,,,,,Suspect,"Reporting limit raised, low total solids"
RMAX,,,,,,Pass,result is a maximum value
RNAF,,,,,,Pass,result not affected by noted QC issue
RNON,,,,,,Suspect,result reported as non-detect due to blank contamination
RP,,,,,,Pass,value reported is preferred
RPDX,,,,,,Suspect,"RPD is MS/MSD pair exceeds criterion, estimated value"
RPO,,,,,,Suspect,% RPD outside of acceptable limits
RR,,,,,,Pass,Lab reported a result value
RV,,,,,,Pass,Results are within precision limits and are analytically equal.
RVB,,,,,,Pass,Result Value Between
S2,,,,,,Suspect,Shipping time exceeded two day limit
SBB,,,,,,Pass,"Estimated Value, less than blank"
SCA,,,,,,Suspect,"Suspected Contamination, lab analysis"
SCF,,,,,,Suspect,"Suspected Contamination, field"
SCP,,,,,,Suspect,"Suspected Contamination, lab preparation"
SCX,,,,,,Suspect,"Suspected Contamination, unknown"
SD%EL,,,,,,Suspect,MS/MSD RPD exceeds control limits
SDROL,,,,,,Suspect,MS and/or MSD Recovery is outside acceptance limits
SLB,,,,,,Pass,Spike level low compared to background
SM,,,,,,Pass,same method (USGS)
SS,,,,,,Pass,Sample size difference
SSR,,,,,,Suspect,Surrogate standard acceptance criteria not met
SSRV,,,,,,Suspect,Surrogate or spike recovery value associated with sample analyte or analytes
SUS,,,,,,Suspect,Result value is defined as suspect by data owner. (HV) High variability: questionable precision and accuracy
T,,,,,,Pass,Hardness by Calculation Method - Standard Methods 2340B - 19th Ed 
T5,,,,,,Not Reviewed,Laboratory not licensed for this parameter
TMLF,,,,,,Suspect,Time missing in logger file.
TOC,,,,,,Suspect,Temperature outside of criteria
TR,,,,,,Pass,Trace
TT,,,,,,Suspect,analyte recalculated against alternate labeled compound(s)
U,,,,,,Non-Detect,"Not Detected: The analyte was analyzed for, but was not detected at a level greater than or equal to the level of the adjusted Contract Required Quantitation Limit (CRQL) for sample and method. "
UDL,,,,,,Suspect,Lab's detection limit is not known/available for validation or comparison to the result.
UDQ,,,,,,Suspect,Lab's detection limit not known/available for comparison to the result; however with parameter specific evaluation determined to be quantified.
UNC,,,,,,Suspect,Value Not Confirmed
V,,,,,,Suspect,Surrogate recoveries out of range
V1,,,,,,Not Reviewed,Continuing calibration verification (CCV) recovery was above method acceptance limits
VS,,,,,,Pass,compound identified verified by 2nd method
VVRR,,,,,,Pass,Value verified by rerun
VVRR2,,,,,,Pass,"value verified by rerun, 2nd method"
ZZ,,,,,,Pass,"Blank-corrected data were indicated by the ""Z"" qualifier code. The laboratory reported the concentration of analyte to the nearest unit. These data were qualified as blank-corrected and as undetected when the blank correction resulted in a concentration below the DL."
